stopID,stop_Cname,stop_Ename,lon,lat,address
25899,捷運北投站(北投),MRT Beitou Sta.(Beitou),121.49802,25.13225,北投路二段一號同向
25900,幼華高中(北投),YouHua Vocational High School(Beitou),121.49683,25.13423,北投路二段大業路12號同向1
25902,北投國小,Beitou Elementary School,121.5007209,25.13384543,中央北路一段73號對向
25903,第一銀行,First Commercial Bank,121.50254864888201,25.13492452464411,光明路16號同向
25905,新北投,Xinbeitou,121.50311686083201,25.13778788858109,泉源路1巷
25906,中和街,Zhonghe St.,121.501688456724,25.1392080991718,中和街232號
25907,復興中學,Fuxing High School,121.50003982456998,25.140779616914,中和街296號對向
25908,清天宮,Qingtian Temple,121.500823,25.159885,復興路既有站位
25910,復興中學,Fuxing High School,121.50014202423901,25.1404257952951,中和街296號同向
25911,中和街,Zhonghe St.,121.501520744986,25.139157186319103,中和街207之2號同向
35545,捷運中正紀念堂站(愛國),MRT Chiang Kai-shek Memorial Hall Sta. (Aiguo),121.51992,25.0337,愛國東路76號同向
25289,萬芳活動中心,Wanfang Activity Center,121.568378960175,25.002391659383,萬美街51號同向
57285,美國在臺協會,American Institute in Taiwan,121.599056,25.079466,金湖路175號(向東)
26482,泰北中學,Taibei High School,121.533481875716,25.0972847950979,福林路240號同向
25701,石門,Shimen,121.50566,25.12933,公館路146號
57030,中銀山莊,Chungying Shanzhuang,121.532981,25.126841,中山北路7段221號對面
26303,福林國小,Fulin Elementary School,121.52906000000002,25.09592,中正路115號同向
26312,永嶺,Yongling,121.54538229999999,25.10696523,仰德大道二段88巷旁(向北)
26679,外雙溪橋,Waishuangxi Bridge,121.55796059999999,25.11146528,至善路二段477號同向
186834,橫嶺古道,Hengling Historic Trail,121.54109,25.151749,湖山路1段(臨湖底路口西側20公尺處)
186835,橫嶺古道,Hengling Historic Trail,121.54109,25.151749,湖山路1段(臨湖底路口西側20公尺處)
57027,合庫訓練中心,Heku Train Center,121.52917099999999,25.123061,天母北路87巷與中山北路7段141巷口合庫訓練中心對面(向北)
57028,天母公園,Tianmu Park,121.53046100000002,25.124601000000002,中山北路7段141巷43號斜對面
57029,天母圓環,Tianmu Circle,121.532355169312,25.125031927924105,中山北路7段191巷5號前
57032,天和里,Tianha Li,121.534221,25.125671,中山北路7段290巷14-3號對面
35396,建國農安街口,Jianguo and Nongan Intersection,121.536153,25.06481951,農安街273號同向
35397,中山區公所,Zhongshan Dist. Office,121.53362279999999,25.06481353,農安街166號斜對面對向
35847,天后宮,Tianhou Temple,121.49998000000001,25.05707,同安七街87巷22號對向
35848,福德南路,Fude S. Rd.,121.503152,25.062224,福德南路48號同向
35849,捷運民權西路站,MRT Minquan W. Rd. Station,121.51786778879999,25.0628480067,民權西路公車專用道(向東)
35850,台泥大樓(馬偕醫院),Taini Building,121.52277677611299,25.0608309862107,中山北路二段110號
35851,國賓飯店,The Ambassador Hotel,121.52262891008499,25.056427608986397,中山北路二段
35852,中山市場,Zhongshan Market,121.52202112764999,25.051264053860002,中山北路一段128-134號
35853,行政院,Executive Yuan,121.519759690546,25.046484462941,中山北路一段20號同向
35854,臺北車站(忠孝),Taipei Main Sta.,121.51652326088998,25.046530578429604,忠孝西路一段台北車站南側
134863,忠順街口,Zhongshun St. Entrance,121.5614966,24.98477018,興隆路四段68之1號(向南)
36000,九芎街,Jiuqiong St.,121.46489,25.07899,九芎街122號
36001,延平里,Yanping Li,121.46320781349002,25.079730901056,長安街51號
36002,忠義廟,Zhongyi Temple,121.46113046626999,25.081271348985,長安街113號
36003,長安街一,Changan St. 1,121.4594698675,25.082958806825104,長安街231號
36004,永康公園,Yongkang Park,121.4581955,25.08487762,長安街295號(向北)
36005,成功國小,Chenggong Elementary School,121.45754212765,25.086317734311,長安街317號
36006,長安街,Changan St.,121.45733775463002,25.08775825833,長安街379號
36007,永平市場,Yongping Market,121.459668,25.090129,長榮路與永平街口西側15M
36008,長榮路,Changrong Rd.,121.4606387,25.0923306,長榮路685號對面(向北)
25267,忠順廟,Zhongshun Temple,121.56452654233,24.982650387537,木新路三段36號同向
25268,國泰新村(木新),Guotai New Village(Muxin),121.56184982405199,24.982053448137695,木新路三段133號
25269,力行國小,Lixing Elementary School,121.56028905814101,24.9816609828931,木新路三段184號同向
25270,木新市場,Muxin Market,121.558272457788,24.981153473569798,木新路三段270號同向
25273,救千宮,Jiouqian Temple,121.56861299999998,24.972909,老泉街45巷18號同向
25331,中央北路,Zhongyang N. Rd.,121.4750896208,25.1326768057341,中央北路四段162號同向
25333,忠義,Zhongyi,121.48055176199199,25.1361344185419,中央北路四段20號同向
25334,中央北路三段,Zhongyang N. Rd. Sec. 3,121.48193288446001,25.136885850190396,中央北路三段162號同向
25335,捷運復興崗站,MRT Fuxinggang,121.48494894973,25.138009138037,中央北路三段78號同向(向東)
25336,製片廠,Movie Studio,121.48806,25.13842600000001,中央北路二段369號同向
25337,復興崗,Fuxinggang,121.4923517,25.13807076,中央北路二段227號同向
25338,文化國小,Wenhua Elementary School,121.49572479999999,25.13669010000001,中央北路二段25號同向
25339,大業中央北路口,Daye & Zhongyang N. Rd. Enterance,121.498029,25.135604999999998,中央北路一段184號同向
25340,北投國小,Beitou Elementary School,121.5007209,25.13384543,中央北路一段73號對向
25341,北投國小,Beitou Elementary School,121.50136,25.13361526,中央北路一段2號同向
25342,大業中央北路口,Daye & Zhongyang N. Rd. Enterance,121.49789150000001,25.13580742,中央北路一段175號同向
25343,文化國小,Wenhua Elementary School,121.49552890000001,25.13690086,中央北路二段23號對向
25345,製片廠,Movie Studio,121.488,25.1384813245468,中央北路二段353號對向
25346,捷運復興崗站,MRT Fuxinggang,121.485,25.138268490176,中央北路三段225號同向(向西)
25347,中央北路三段,Zhongyang N. Rd. Sec. 3,121.482299756251,25.137048409825802,中央北路三段185號同向
25348,忠義,Zhongyi,121.48,25.1360261781217,中央北路四段22號對向
25351,捷運忠義站,MRT Zhongyi,121.47284199073201,25.1309842410201,中央北路四段301號同向
25352,和信醫院,Hexin Hospital,121.471581488549,25.1299720368887,中央北路四段376號對向
25353,一德街口,Yide St. Entrance,121.46876311032,25.128391602117897,中央北路四段495號同向
25354,關渡國小(臺北城市科技大學),Guandu Elementary School,121.466749861173,25.127279761103,中央北路四段570號同向
25355,長虹天下,Changhong Tianxia,121.4640188,25.12838205,自立路12巷同向
25356,富升大廈,Fusheng Building,121.46323999999998,25.12957,埔頂自強路293號南側
188177,思源新北大道路口,Siyuan Rd. & New Taipei Blvd. Entrance,121.4595888,25.05944269,思源路585號
25359,擎天大樓,Qingtian Building,121.46378,25.13281,新北市埔頂自強路343號北側
25360,新天母社區,XinTianmu Community,121.46531399999999,25.13411542,自強路411號同向
